Position,Potential
0.000000000000000000e+00,2.437013891687018372e+02
5.000000000000000000e-01,2.561455326277256290e+02
1.000000000000000000e+00,2.490550054863598746e+02
1.500000000000000000e+00,2.627824808405208614e+02
2.000000000000000000e+00,2.554440878342144572e+02
2.500000000000000000e+00,2.612582982144431867e+02
3.000000000000000000e+00,2.550602670872329156e+02
3.500000000000000000e+00,2.626895176235791496e+02
4.000000000000000000e+00,2.501788180530085981e+02
4.500000000000000000e+00,2.558365562351855260e+02
5.000000000000000000e+00,2.466183134581135334e+02
5.500000000000000000e+00,2.524553999569230029e+02
6.000000000000000000e+00,2.409553605152856051e+02
6.500000000000000000e+00,2.474285579311108449e+02
7.000000000000000000e+00,2.347536522007640656e+02
7.500000000000000000e+00,2.450833797345194967e+02
8.000000000000000000e+00,2.370290720789046475e+02
8.500000000000000000e+00,2.461542770611193873e+02
9.000000000000000000e+00,2.428726100037980302e+02
9.500000000000000000e+00,2.520182914290897145e+02
1.000000000000000000e+01,2.486757261323445789e+02
1.050000000000000000e+01,2.570182003524917036e+02
1.100000000000000000e+01,2.534598201110052287e+02
1.150000000000000000e+01,2.619688887185964745e+02
1.200000000000000000e+01,2.575737654556399434e+02
1.250000000000000000e+01,2.634844204242604633e+02
1.300000000000000000e+01,2.564067633990626973e+02
1.350000000000000000e+01,2.632529456693152383e+02
1.400000000000000000e+01,2.545857183930413896e+02
1.450000000000000000e+01,2.613469914375816643e+02
1.500000000000000000e+01,2.486845022217251255e+02
1.550000000000000000e+01,2.551706212190266001e+02
1.600000000000000000e+01,2.425025528565486468e+02
1.650000000000000000e+01,2.482719445163064904e+02
1.700000000000000000e+01,2.410285341501987659e+02
1.750000000000000000e+01,2.467529746192704749e+02
1.800000000000000000e+01,2.414919829676183269e+02
1.850000000000000000e+01,2.514330121255318033e+02
1.900000000000000000e+01,2.451809344544194857e+02
1.950000000000000000e+01,2.563956670507455442e+02
2.000000000000000000e+01,2.531204203331641054e+02
2.050000000000000000e+01,2.637793970315655088e+02
2.100000000000000000e+01,2.598884406654525492e+02
2.150000000000000000e+01,2.687417836243944294e+02
2.200000000000000000e+01,2.622808913135763191e+02
2.250000000000000000e+01,2.714302255875986134e+02
2.300000000000000000e+01,2.646634233345466782e+02
2.350000000000000000e+01,2.695971499053488287e+02
2.400000000000000000e+01,2.617150920391759428e+02
2.450000000000000000e+01,2.644536928529711872e+02
2.500000000000000000e+01,2.558264611314448871e+02
2.550000000000000000e+01,2.594493090646196833e+02
2.600000000000000000e+01,2.489225809145295329e+02
2.650000000000000000e+01,2.571603755558491571e+02
2.700000000000000000e+01,2.451847431550901319e+02
2.750000000000000000e+01,2.549144251498418896e+02
2.800000000000000000e+01,2.450294226312021237e+02
2.850000000000000000e+01,2.564619727973952763e+02
2.900000000000000000e+01,2.482923701249191595e+02
2.950000000000000000e+01,2.591368880891176900e+02
3.000000000000000000e+01,2.537410524290267233e+02
3.050000000000000000e+01,2.686071337773283290e+02
3.100000000000000000e+01,2.608804544125898701e+02
3.150000000000000000e+01,2.745899343163025605e+02
3.200000000000000000e+01,2.651714629017678817e+02
3.250000000000000000e+01,2.745165937944212828e+02
3.300000000000000000e+01,2.672936192938758495e+02
3.350000000000000000e+01,2.730025427512867964e+02
3.400000000000000000e+01,2.642311030455819036e+02
3.450000000000000000e+01,2.670176226639139259e+02
3.500000000000000000e+01,2.590751768392236727e+02
3.550000000000000000e+01,2.637387199198843177e+02
3.600000000000000000e+01,2.539473565205579462e+02
3.650000000000000000e+01,2.592586678027723792e+02
3.700000000000000000e+01,2.484372698817483354e+02
3.750000000000000000e+01,2.539489059441065137e+02
3.800000000000000000e+01,2.479034669801708048e+02
3.850000000000000000e+01,2.586333373312957633e+02
3.900000000000000000e+01,2.542441476461827392e+02
3.950000000000000000e+01,2.618484978827392524e+02
4.000000000000000000e+01,2.591421211360417374e+02
4.050000000000000000e+01,2.692516245560876769e+02
4.100000000000000000e+01,2.643362179791943163e+02
4.150000000000000000e+01,2.729195844831685918e+02
4.200000000000000000e+01,2.649772947292599952e+02
4.250000000000000000e+01,2.764156418052691606e+02
4.300000000000000000e+01,2.647201804037662782e+02
4.350000000000000000e+01,2.711266051482334660e+02
4.400000000000000000e+01,2.626878095217830378e+02
4.450000000000000000e+01,2.685164030196349358e+02
4.500000000000000000e+01,2.550696813315520046e+02
4.550000000000000000e+01,2.604462625873930506e+02
4.600000000000000000e+01,2.502118392605653128e+02
4.650000000000000000e+01,2.557116809770417092e+02
4.700000000000000000e+01,2.442828277114309685e+02
4.750000000000000000e+01,2.543352509250049138e+02
4.800000000000000000e+01,2.468044144178756198e+02
4.850000000000000000e+01,2.564957975907058767e+02
4.900000000000000000e+01,2.481368137258596391e+02
4.950000000000000000e+01,2.605786982720345577e+02